event,enabled,cme_onset,cme_0p1_au,longitude,latitude,width,speed,notes
2024-08-01T0724-v1,true,2024-08-01T07:24:00,2024-08-01T10:49:00,50.0,7.0,100.0,1100.0,DONKI GST-associated CME 2024-08-01T07:24 v1 type O CR2287
2024-08-01T0724-v2,true,2024-08-01T07:24:00,2024-08-01T10:49:00,65.0,3.0,88.0,1092.0,DONKI GST-associated CME 2024-08-01T07:24 v2 type O CR2287
2024-08-08T0530-v2,true,2024-08-08T05:30:00,2024-08-08T11:31:00,-4.0,1.0,90.0,355.0,DONKI GST-associated CME 2024-08-08T05:30 v2 type S CR2287
2024-08-08T2000-v1,true,2024-08-08T20:00:00,2024-08-08T23:59:00,3.0,3.0,90.0,699.0,DONKI GST-associated CME 2024-08-08T20:00 v1 type C CR2287
2024-08-08T2000-v3,true,2024-08-08T20:00:00,2024-08-09T01:53:00,1.0,2.0,90.0,497.0,DONKI GST-associated CME 2024-08-08T20:00 v3 type S CR2287
2024-08-14T0823-v1,true,2024-08-14T08:23:00,2024-08-14T13:53:00,-4.0,19.0,60.0,616.0,DONKI GST-associated CME 2024-08-14T08:23 v1 type C CR2287
2024-08-23T0200-v1,true,2024-08-23T02:00:00,2024-08-23T09:38:00,31.0,-2.0,76.0,461.0,DONKI GST-associated CME 2024-08-23T02:00 v1 type S CR2288
2024-09-10T0023-v2,true,2024-09-10T00:23:00,2024-09-10T04:37:00,-5.0,26.0,86.0,755.0,DONKI GST-associated CME 2024-09-10T00:23 v2 type C CR2288
2024-09-11T0223-v1,true,2024-09-11T02:23:00,2024-09-11T06:29:00,3.0,25.0,58.0,742.0,DONKI GST-associated CME 2024-09-11T02:23 v1 type C CR2288
2024-09-14T1536-v2,true,2024-09-14T15:36:00,2024-09-14T17:02:00,-30.0,6.0,90.0,2040.0,DONKI GST-associated CME 2024-09-14T15:36 v2 type R CR2288
2024-09-14T1536-v2-2,true,2024-09-14T15:36:00,2024-09-14T18:08:00,-50.0,8.0,102.0,1070.0,DONKI GST-associated CME 2024-09-14T15:36 v2 type O CR2288
2024-10-03T1248-v1,true,2024-10-03T12:48:00,2024-10-03T16:29:00,-3.0,-4.0,106.0,863.0,DONKI GST-associated CME 2024-10-03T12:48 v1 type C CR2289
2024-10-03T1248-v2,true,2024-10-03T12:48:00,2024-10-03T16:43:00,3.0,-20.0,78.0,822.0,DONKI GST-associated CME 2024-10-03T12:48 v2 type C CR2289
2024-10-09T0212-v4,true,2024-10-09T02:12:00,2024-10-09T03:31:00,19.0,9.0,92.0,2112.0,DONKI GST-associated CME 2024-10-09T02:12 v4 type R CR2289
2024-10-09T0212-v6,true,2024-10-09T02:12:00,2024-10-09T04:16:00,8.0,13.0,90.0,1509.0,DONKI GST-associated CME 2024-10-09T02:12 v6 type O CR2289
